model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.37330907881259917
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.3775272637605667
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.3841454446315765
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.37461817264556885
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.37578181028366087
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.37694544196128843
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.3864727199077606
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.37519999146461486
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.37687271535396577
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.384218168258667
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.3970908969640732
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.39229090213775636
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.38596362471580503
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.38618180751800535
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.4535272538661957
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.41738180816173553
SelfGCon,Computers,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.37403635680675507
SelfGCon,Computers,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.37723635137081146
